stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\Martin\Documents\Universidad\2208-EDA\TP6\source\DisplayVirtual\Debug\allegro5.cfg r
system   D            wsystem.c:799  maybe_parent_dir                 [   0.00000] Also searching C:\Users\Martin\Documents\Universidad\2208-EDA\TP6\source\DisplayVirtual\
system   D            wsystem.c:854  _al_win_safe_load_library        [   0.00000] PathFindOnPath found: C:\Windows\system32\shcore.dll
system   D            wsystem.c:760  load_library_at_path             [   0.00000] Calling LoadLibrary C:\Windows\system32\shcore.dll
system   I            wsystem.c:763  load_library_at_path             [   0.00000] Loaded C:\Windows\system32\shcore.dll
system   I             system.c:267  al_install_system                [   0.00000] Allegro version: 5.2.6
system   D            wsystem.c:799  maybe_parent_dir                 [   0.01226] Also searching C:\Users\Martin\Documents\Universidad\2208-EDA\TP6\source\DisplayVirtual\
system   D            wsystem.c:854  _al_win_safe_load_library        [   0.01577] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:760  load_library_at_path             [   0.02350] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:763  load_library_at_path             [   0.07911] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:684  d3d_init_display                 [   0.14658] Render-to-texture: 1
d3d      I         d3d_disp.cpp:1778 d3d_create_display_locked        [   0.14775] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1779 d3d_create_display_locked        [   0.14798] al_display=00FE70E0
d3d      D         d3d_disp.cpp:1780 d3d_create_display_locked        [   0.14818] al_display->vt=00FE64E0
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.17364] found 128 format combinations
display  D   display_settings.c:212  debug_display_settings           [   0.17388] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.17408] Score is : 641
display  D   display_settings.c:212  debug_display_settings           [   0.17428] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.17451] Score is : 641
display  D   display_settings.c:212  debug_display_settings           [   0.17467] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17485] Score is : 785
display  D   display_settings.c:212  debug_display_settings           [   0.17500] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17516] Score is : 793
display  D   display_settings.c:212  debug_display_settings           [   0.17532] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.17548] Score is : 641
display  D   display_settings.c:212  debug_display_settings           [   0.17563] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.17581] Score is : 641
display  D   display_settings.c:212  debug_display_settings           [   0.17597] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17613] Score is : 785
display  D   display_settings.c:212  debug_display_settings           [   0.17629] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17645] Score is : 793
display  D   display_settings.c:212  debug_display_settings           [   0.17660] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.17677] Score is : 641
display  D   display_settings.c:212  debug_display_settings           [   0.17692] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.17709] Score is : 641
display  D   display_settings.c:212  debug_display_settings           [   0.17724] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17741] Score is : 785
display  D   display_settings.c:212  debug_display_settings           [   0.17756] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17773] Score is : 793
display  D   display_settings.c:212  debug_display_settings           [   0.17787] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.17805] Score is : 641
display  D   display_settings.c:212  debug_display_settings           [   0.17820] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.17837] Score is : 641
display  D   display_settings.c:212  debug_display_settings           [   0.17852] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17869] Score is : 785
display  D   display_settings.c:212  debug_display_settings           [   0.17884] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17901] Score is : 793
display  D   display_settings.c:212  debug_display_settings           [   0.17916] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.17931] Score is : 641
display  D   display_settings.c:212  debug_display_settings           [   0.17947] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.17965] Score is : 641
display  D   display_settings.c:212  debug_display_settings           [   0.17981] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17998] Score is : 785
display  D   display_settings.c:212  debug_display_settings           [   0.18013] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18029] Score is : 793
display  D   display_settings.c:212  debug_display_settings           [   0.18044] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.18060] Score is : 641
display  D   display_settings.c:212  debug_display_settings           [   0.18075] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.18091] Score is : 641
display  D   display_settings.c:212  debug_display_settings           [   0.18105] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18122] Score is : 785
display  D   display_settings.c:212  debug_display_settings           [   0.18137] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18153] Score is : 793
display  D   display_settings.c:212  debug_display_settings           [   0.18167] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.18183] Score is : 641
display  D   display_settings.c:212  debug_display_settings           [   0.18197] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.18214] Score is : 641
display  D   display_settings.c:212  debug_display_settings           [   0.18230] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18245] Score is : 785
display  D   display_settings.c:212  debug_display_settings           [   0.18260] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18276] Score is : 793
display  D   display_settings.c:212  debug_display_settings           [   0.18290] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.18307] Score is : 641
display  D   display_settings.c:212  debug_display_settings           [   0.18323] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.18342] Score is : 641
display  D   display_settings.c:212  debug_display_settings           [   0.18357] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18373] Score is : 785
display  D   display_settings.c:212  debug_display_settings           [   0.18387] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18404] Score is : 793
